customer_id,name,age,city,email,purchase_amount,rating
C001,  Teju ,33,hyderabad,TEJU@GMAIL.COM,2500,5
C002,RAHUL,28, HYDERABAD ,rahul@gmail.com,1500,4
C003,Priya,abc,Bangalore,priya@gmail.com,2000,5
C004, anil,35,HYDERABAD,anil@gmail.com,abc,4
C005,SITA,29,,sita@gmail.com,1800,3
C006,  Ravi,31,Chennai,ravi@gmail.com,2200,5
C007,MEENA,27, chennai ,MEENA@GMAIL.COM,1700,4
C008,Arjun,,Mumbai,arjun@gmail.com,3000,5
C009,  Kiran ,26,MUMBAI,kiran@gmail.com,1200,3
C010,swathi,30,Hyderabad,,2500,4
C011,  Vamsi,32,HYDERABAD,vamsi@gmail.com,2800,5
C012,PRIYA,29,bangalore,priya2@gmail.com,1900,4
C013,Rohit,34, Bangalore ,rohit@gmail.com,three thousand,5
C014,neha,25,Delhi,neha@gmail.com,1600,3
C015,  Suresh ,38,delhi,suresh@gmail.com,3500,5
C016,ANJALI,27, DELHI ,anjali@gmail.com,1400,4
C017,Manoj,40,Hyderabad,manoj@gmail.com,4200,5
C018,divya,,hyderabad,divya@gmail.com,2100,4
C019, Karthik ,33,Chennai,karthik@gmail.com,2300,5
C020,LATHA,31, chennai ,latha@gmail.com,1800,3
C021,Arun,29,Mumbai,arun@gmail.com,2700,4
C022,  Pooja ,26,mumbai,pooja@gmail.com,1500,5
C023,SHIVA,36,Bangalore,shiva@gmail.com,3200,4
C024,rekha,28, bangalore ,rekha@gmail.com,2000,3
C025,  Naveen,30,Hyderabad,naveen@gmail.com,2600,5
C026,PRIYANKA,abc,HYDERABAD,priyanka@gmail.com,1900,4
C027,Ramesh,42,hyderabad,ramesh@gmail.com,5000,5
C028,  Kavya ,24,Delhi,kavya@gmail.com,1300,3
C029,SANDEEP,35, delhi ,sandeep@gmail.com,3100,4
C030,lakshmi,32,Chennai,lakshmi@gmail.com,2200,5
C031,  Harish ,29,chennai,harish@gmail.com,2400,4
C032,POOJA,27, MUMBAI ,pooja2@gmail.com,1700,3
C033,Vijay,39,Mumbai,vijay@gmail.com,3900,5
C034,  Sneha ,28,Hyderabad,sneha@gmail.com,2000,4
